Order ID,Order Date,Amount,Profit,Quantity,Category,Sub-Category,Unique Categories,Unique Sub-Categories,total amount by category,total profit by category
B-25601,01-04-2018,1275,-1148,7,Furniture,Bookcases,0.004115226,0.012658228,165267,10494
B-25601,01-04-2018,66,-12,5,Clothing,Stole,0.001053741,0.005208333,165267,10494
B-25601,01-04-2018,8,-2,3,Clothing,Hankerchief,0.001054852,0.005050505,165267,10494
B-25601,01-04-2018,80,-56,4,Electronics,Electronic Games,0.003246753,0.012658228,165267,10494
B-25602,01-04-2018,168,-111,2,Electronics,Phones,0.003257329,0.012048193,165187,10550
B-25602,01-04-2018,424,-272,5,Electronics,Phones,0.003267974,0.012195122,165019,10661
B-25602,01-04-2018,2617,1151,4,Electronics,Phones,0.003278689,0.012345679,164595,10933
B-25602,01-04-2018,561,212,3,Clothing,Saree,0.001055966,0.004761905,161978,9782
B-25602,01-04-2018,119,-5,8,Clothing,Saree,0.001057082,0.004784689,161978,9782
B-25603,03-04-2018,1355,-60,5,Clothing,Trousers,0.001058201,0.025641026,161978,9782
B-25603,03-04-2018,24,-30,1,Furniture,Chairs,0.004132231,0.013513514,161978,9782
B-25603,03-04-2018,193,-166,3,Clothing,Saree,0.001059322,0.004807692,161978,9782
B-25603,03-04-2018,180,5,3,Clothing,Trousers,0.001060445,0.026315789,161978,9782
B-25603,03-04-2018,116,16,4,Clothing,Stole,0.001061571,0.005235602,161978,9782
B-25603,03-04-2018,107,36,6,Clothing,Stole,0.001062699,0.005263158,161978,9782
B-25603,03-04-2018,12,1,2,Clothing,Hankerchief,0.00106383,0.005076142,161978,9782
B-25603,03-04-2018,38,18,1,Clothing,Kurti,0.001064963,0.021276596,161978,9782
B-25604,03-04-2018,65,17,2,Clothing,T-shirt,0.001066098,0.012987013,161978,9782
B-25604,03-04-2018,157,5,9,Clothing,Saree,0.001067236,0.004830918,161978,9782
B-25605,05-04-2018,75,0,7,Clothing,Saree,0.001068376,0.004854369,161978,9782
B-25606,06-04-2018,87,4,2,Clothing,Shirt,0.001069519,0.014492754,161978,9782
B-25607,06-04-2018,50,15,4,Clothing,Leggings,0.001070664,0.018867925,161978,9782
B-25608,08-04-2018,1364,-1864,5,Furniture,Tables,0.004149378,0.058823529,161978,9782
B-25608,08-04-2018,476,0,3,Furniture,Chairs,0.004166667,0.01369863,161978,9782
B-25608,08-04-2018,257,23,5,Clothing,Hankerchief,0.001071811,0.005102041,161978,9782
B-25608,08-04-2018,856,385,6,Electronics,Printers,0.003289474,0.013513514,161978,9782
B-25609,09-04-2018,485,29,4,Electronics,Electronic Games,0.00330033,0.012820513,161122,9397
B-25609,09-04-2018,25,-5,4,Clothing,Saree,0.001072961,0.004878049,160637,9368
B-25610,09-04-2018,1076,-38,4,Electronics,Printers,0.003311258,0.01369863,160637,9368
B-25610,09-04-2018,107,-54,4,Clothing,Stole,0.001074114,0.005291005,159561,9406
B-25610,09-04-2018,68,-55,5,Electronics,Accessories,0.003322259,0.013888889,159561,9406
B-25610,09-04-2018,781,-594,6,Electronics,Printers,0.003333333,0.013888889,159493,9461
B-25610,09-04-2018,43,0,3,Clothing,Saree,0.001075269,0.004901961,158712,10055
B-25610,09-04-2018,30,-5,2,Furniture,Furnishings,0.0041841,0.01369863,158712,10055
B-25611,11-04-2018,160,-59,2,Clothing,Saree,0.001076426,0.004926108,158712,10055
B-25612,12-04-2018,259,-55,2,Furniture,Chairs,0.004201681,0.013888889,158712,10055
B-25613,12-04-2018,1603,0,9,Clothing,Saree,0.001077586,0.004950495,158712,10055
B-25614,13-04-2018,494,54,4,Furniture,Bookcases,0.004219409,0.012820513,158712,10055
B-25614,13-04-2018,98,-12,2,Electronics,Electronic Games,0.003344482,0.012987013,158712,10055
B-25615,15-04-2018,68,20,5,Clothing,Hankerchief,0.001078749,0.005128205,158614,10067
B-25616,15-04-2018,42,12,5,Clothing,Hankerchief,0.001079914,0.005154639,158614,10067
B-25616,15-04-2018,116,-56,5,Clothing,Stole,0.001081081,0.005319149,158614,10067
B-25616,15-04-2018,22,-2,3,Clothing,Hankerchief,0.001082251,0.005181347,158614,10067
B-25616,15-04-2018,14,-2,3,Clothing,Hankerchief,0.001083424,0.005208333,158614,10067
B-25617,17-04-2018,305,-270,5,Electronics,Electronic Games,0.003355705,0.013157895,158614,10067
B-25618,18-04-2018,362,127,1,Furniture,Bookcases,0.004237288,0.012987013,158309,10337
